Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State,Options
2023,SE AWD,Supersonic Red,43090,46894,,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD147196,Fremont Toyota,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Midnight Black Metallic,43090,46828,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD148316,Ira Toyota,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Blueprint,43090,47742,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD148669,Atlantic Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Magnetic Gray Metallic,43090,46927,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD148686,WOW Toyota of Wallingford,CT,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,47777,,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD148865,Luv Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Silver Sky Metallic,43090,48076,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD148901,Manhattan Beach Toyota,CA,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package"
2023,SE AWD,Magnetic Gray Metallic,43090,46937,50117.0,3180.0,46270.0,At dealer,False,,JTMAB3FV0PD148977,Kearny Mesa Toyota,CA,3M Premium Shield Package | 50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Cargo Net - Spider[installed_msrp] | Diamond Ceramic | First Aid Kit w/ PPE[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | KARR Security System | Mudguards[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Weather & Moonroof Package | Window Tint
2023,SE AWD,Supersonic Red,43090,46839,,7282.0,50372.0,At dealer,False,DealerHold,JTMAB3FV0PD149451,Toyota of Kirkland,WA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Chiprotect 10yrs Coverage | Door Edge & Cup Guards | PermaPlate Appearance Protection 5yrs Coverage | PermaPlate Windshield Protection 5yrs Coverage | Pulse  | RoundTint | Special Color | Weather & Moonroof Package
2023,SE AWD,Blueprint,43090,47322,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD149577,Toyota of Riverside,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47417,47417.0,0.0,43090.0,Port to dealer,False,Available,JTMAB3FV0PD150051,West Herr Toyota of Canandaigua,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
